	word	proposed_splitting	count_pre	count_post
0	australian		1	
1	solarpowered	['solar', 'powered']	1	1.0
2	weathercloud	['weather', 'cloud']	1	1.0
3	laudatosi18		6	
4	goplantbased	['go', 'plant', 'based']	2	
5	climatebreakdown	['climate', 'breakdown']	18	
6	science7	['science', '7']	1	
7	urbanization		4	2.0
8	climateactivist	['climate', 'activist']	1	
9	cuba		1	
10	weathercycles	['weather', 'cycles']	1	
11	losers		1	
12	preserve		1	
13	ukaid		2	
14	memes		1	
15	seedingchange	['seeding', 'change']	1	
16	showsolidarity	['show', 'solidarity']	1	
17	porto		2	1.0
18	changeyourlife	['change', 'your', 'life']	1	
19	endpoverty	['end', 'poverty']	1	
20	subtropicalstormalberto		1	
21	notgovernment	['not', 'government']	1	
22	leadoncarbonpricing	['lead', 'on', 'carbon', 'pricing']	1	
23	akwx	['a', 'kw', 'x']	1	
24	heavyrainfall	['heavy', 'rainfall']	1	
25	seedlings		1	
26	vikez		2	
27	lessmeat	['less', 'meat']	2	
28	preventive		1	
29	montana		1	
30	climate		194	348.0
31	assessment		1	
32	msnbc		1	
33	islamophobia		1	
34	inspiring		1	
35	economic		1	
36	sexism		1	
37	longreads	['long', 'reads']	2	
38	seedclim		1	
39	wellness		1	
40	cooling		2	2.0
41	seafood		3	1.0
42	guncontrol	['gun', 'control']	1	2.0
43	foreverychild	['for', 'every', 'child']	1	
44	meatfree	['meat', 'free']	3	
45	clp18		1	
46	yellowvests	['yellow', 'vests']	1	
47	endmassincarcerations	['end', 'mass', 'incarcerations']	1	
48	timetocare	['time', 'to', 'care']	2	
49	coonabarabran		1	
50	migrant		1	
51	cervicalcancer	['cervical', 'cancer']	3	
52	unfriendcoal		2	
53	publicsediment	['public', 'sediment']	1	
54	ourocean	['our', 'ocean']	1	1.0
55	ourgopcongress		1	
56	pollutants		1	
57	lowcarbon	['low', 'carbon']	7	2.0
58	summerreading	['summer', 'reading']	1	
59	daretodreambig	['dare', 'to', 'dream', 'big']	3	
60	pensions		1	
61	nature4climate	['nature', '4', 'climate']	2	2.0
62	100by2045	['100', 'by', '2045']	1	
63	electrolinesolar		1	
64	kampala4climate		2	
65	appliances		1	
66	hele		1	
67	plasticpollutes	['plastic', 'pollutes']	2	
68	cryptotrading		1	
69	blockchain	['block', 'chain']	40	5.0
70	indore		2	
71	dyk		4	10.0
72	jc12		1	
73	hs2		1	
74	scamalert	['scam', 'alert']	1	
75	sustainablecities	['sustainable', 'cities']	1	1.0
76	amwritingscifi		2	
77	underweight		1	
78	chmm	['ch', 'mm']	2	
79	howtobybcg		1	
80	vacancy		1	
81	wash		1	
82	intermediarycities	['intermediary', 'cities']	1	
83	tulsi2020		3	
84	naturalclimatesolution	['natural', 'climate', 'solution']	1	
85	industrialstrategy	['industrial', 'strategy']	1	
86	savetheworld	['save', 'the', 'world']	4	
87	worldmeteorologialday		1	
88	climatehope	['climate', 'hope']	3	1.0
89	sustainableenergy	['sustainable', 'energy']	1	1.0
90	prop68	['prop', '68']	1	
91	fiji		2	4.0
92	butterflycount	['butterfly', 'count']	1	
93	followthefrog	['follow', 'the', 'frog']	2	
94	bombs		2	
95	turtletuesday		1	
96	signage		1	
97	shell		1	1.0
98	power		7	6.0
99	oceanwarming	['ocean', 'warming']	1	1.0
100	thinktogether	['think', 'together']	1	
101	coin		1	
102	stopbrexit		3	4.0
103	confidence		1	
104	ecoscience		1	
105	ford		1	
106	nm		2	
107	waterprovision	['water', 'provision']	1	
108	energyconservation	['energy', 'conservation']	1	
109	timflannery		1	
110	democrat		1	
111	animated		1	
112	biomass		4	1.0
113	londonlidochallenge		1	
114	climadiplo		2	1.0
115	cleandisruption	['clean', 'disruption']	1	
116	climatepolicies	['climate', 'policies']	2	
117	carbontrading	['carbon', 'trading']	1	
118	slaughter		1	
119	comedy		3	
120	worldhealth	['world', 'health']	1	
121	himalayan		1	
122	actressdirector	['actress', 'director']	1	
123	gif		1	
124	environmentaljob	['environmental', 'job']	1	
125	standstrong	['stand', 'strong']	1	
126	thinktank	['think', 'tank']	1	
127	sunvalleyforum	['sun', 'valley', 'forum']	2	
128	mg		1	
129	tccf2019		1	
130	worldenvironmentday2019	['world', 'environment', 'day', '2019']	2	
131	native		1	
132	writingprompt	['writing', 'prompt']	1	
133	stoppruitt	['stop', 'pr', 'u', 'it', 't']	1	
134	ourenvironment	['our', 'environment']	1	
135	entrepreneurship		1	
136	reducereuserecycle	['reduce', 'reuse', 'recycle']	1	1.0
137	caregivers		1	
138	participation		1	
139	nobluewave	['no', 'blue', 'wave']	1	
140	createthefutureyouwant	['create', 'the', 'future', 'you', 'want']	1	
141	chinesehoax		1	
142	kenney		1	
143	authors		1	1.0
144	usa		1	8.0
145	gbr		2	
146	training		1	
147	sids		5	
148	2030agenda	['2030', 'agenda']	1	
149	yyccc		1	
150	zen		3	
151	sport		1	
152	theenergyforecast	['the', 'energy', 'forecast']	1	
153	immigrantchildren	['immigrant', 'children']	1	
154	methamorphosis		2	
155	leadonclimate	['lead', 'on', 'climate']	4	11.0
156	documentary		1	
157	korallenriffe		1	
158	climatewatchdata	['climate', 'watch', 'data']	1	
159	twgrp		3	
160	solarminimum	['solar', 'minimum']	1	
161	happymonday		1	
162	conflict		3	2.0
163	ur2018		4	
164	truorganic		1	
165	poorsection	['poor', 'section']	1	
166	breeding		1	
167	labournolonger		5	
168	protectourplanet	['protect', 'our', 'planet']	1	2.0
169	animalhealth	['animal', 'health']	1	
170	applications		1	
171	coalregionseu		1	
172	f4f	['f', '4', 'f']	2	
173	bjp		1	
174	compromise		1	
175	sustainabletransport	['sustainable', 'transport']	1	
176	livestock		1	
177	theoffice	['the', 'office']	1	
178	measuringup	['measuring', 'up']	1	
179	geothermal		1	2.0
180	freeaccess	['free', 'access']	1	
181	carbonfootprint	['carbon', 'footprint']	4	6.0
182	easme	['e', 'as', 'me']	1	
183	bookboost	['book', 'boost']	1	
184	protectourcare	['protect', 'our', 'care']	1	
185	boreal		1	
186	zerohourlondon		1	
187	montreal		8	
188	occupylafayettepark		1	
189	indonesia		3	2.0
190	earthwarrior	['earth', 'warrior']	1	
191	greenenergy	['green', 'energy']	18	22.0
192	youths		2	
193	australia		17	23.0
194	iaea		1	1.0
195	fastfashion	['fast', 'fashion']	2	
196	adelaide		2	6.0
197	theatre		1	
198	euatspringmeetings		1	
199	sdg11		3	
200	noah		1	
201	computer		1	
202	decarbonisation		4	1.0
203	beaches		1	
204	destructivedevelopment	['destructive', 'development']	1	
205	suicide		1	
